대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중
1985,1985. 구로도서관,43317,7373,6960,10797,0.17021031003993814,0.16067594708774846,0.24925548860724428
779,779. 신정1동 주민센터 앞,43270,6530,7640,11639,0.1509128726600416,0.17656574994222324,0.26898544025883986
1182,1182. KBS 스포츠월드,43259,9550,7102,8005,0.22076330936914862,0.16417392912457524,0.18504819806283085
3219,3219.영등포역 1번출구,43185,7528,9706,11046,0.17431978696306588,0.22475396549727913,0.2557832580757207
217,217. NH농협은행 앞,43039,4786,15917,5461,0.11120146843560491,0.36982736587745996,0.12688491832988685
1637,1637. KT 전화국 버스정류장 옆,42925,2563,9189,12266,0.05970879440885265,0.21407105416423997,0.28575422248107163
4452,4452. 삼성SDS,42597,2807,17845,6137,0.06589665938915885,0.4189262154611827,0.1440711787215062
703,703. 오목교역 7번출구 앞,42528,5887,10858,9724,0.13842644845748683,0.2553141459744169,0.22864936042136946
3881,3881. 신자초교입구 교차로,42468,9598,5263,11300,0.22600546293679946,0.12392860506734482,0.26608269756051617
1024,1024.  강동구청 앞,42209,5775,9272,9592,0.13681916179013953,0.219668791016134,0.2272501125352413
5080,5080. 가양역 1번출구,42174,7507,9036,9268,0.17800066391615688,0.21425522833973537,0.21975624792526202
431,431. 청계천 영도교,42101,6271,5941,10367,0.14895133132229638,0.1411130376950666,0.24624118191966937
2136,2136. 신림역 8번출구,41976,3443,6650,12118,0.0820230607966457,0.15842386125404995,0.28868877453783115
1209,1209. 잠실나루역 (2번 출구 쪽),41960,8354,10266,8895,0.19909437559580553,0.24466158245948522,0.21198760724499524
5074,"5074. 마곡엠밸리14단지 버스정류장(마곡엠밸리11,12단지상가방면)",41860,6235,8619,8440,0.14894887720974678,0.2059006211180124,0.2016244624940277
4233,4233. 코오롱아파트사거리,41838,6612,6849,11499,0.15803814713896458,0.1637028538649075,0.27484583393087625
2824,2824.미래사랑어린이공원 앞,41804,5142,10703,10337,0.12300258348483399,0.2560281312793034,0.2472729882307913
228,228. 선유도역 3번출구 앞,41758,4745,8437,12291,0.1136309210211217,0.20204511710330955,0.29433880932994877
4897,4897. 잠실주공5단지1,41740,11772,4894,11206,0.2820316243411596,0.11724964063248683,0.268471490177288
1684,1684. 태릉입구역 5번출구,41679,2780,8696,10888,0.0667002567240097,0.20864224189639866,0.26123467453633725
3575,3575. 자양사거리(서원빌딩),41602,4735,7063,10859,0.1138166434306043,0.16977549156290564,0.2610211047545791
5882,5882. 휴젠느,41285,10823,6522,10202,0.26215332445198014,0.15797505147147875,0.24711154172217512
996,996.응암역2번출구 국민은행 앞,41248,3683,8275,11451,0.08928917765709853,0.20061578743211791,0.2776134600465477
3511,3511. 응봉역 1번출구,41189,4961,5598,14719,0.12044477894583505,0.13591007307776348,0.3573526912525189
907,907. CJ 드림시티,41059,3839,6792,12417,0.09349959813926301,0.16542049246206678,0.3024184709807837
2219,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",41028,2305,9076,13373,0.05618114458418641,0.22121478015014137,0.32594813298235353
853,853.용산역 맞은편,40797,2377,7857,14407,0.05826408804568963,0.19258769027134348,0.3531387111797436
744,744. 신목동역 2번 출구,40741,7620,10020,8030,0.18703517341253284,0.24594388944797624,0.1970987457352544
1264,1264. 천호역 10번 출구 앞,40738,6028,9776,10032,0.14796995434238303,0.23997250724139624,0.24625656635082724
5070,5070. 마곡13단지힐스테이트마스터 후문(1320동 앞),40631,12800,4827,9223,0.31503039551081685,0.11880091555708695,0.22699416701533312
584,584. 광진광장 교통섬,40596,9982,5922,8180,0.24588629421617894,0.14587644102867278,0.20149768450093605
5867,5867. H타워 앞,40583,14139,8223,7780,0.3483971120912697,0.20262178744794618,0.19170588670132815
4509,4509. 서울영상고교 입구,40395,7021,5305,10007,0.1738086396831291,0.13132813467013243,0.24772867929199158
4540,4540. 목동역 3번 출구,40301,4915,9430,8664,0.12195727153172378,0.2339892310364507,0.21498225850475175
245,245. 삼성생명 당산사옥 앞,40168,6939,8782,8167,0.17274945230033859,0.21863174666401114,0.20332105158334993
2623,2623.석촌동 주민센터,40120,7462,6318,10805,0.18599202392821534,0.1574775672981057,0.26931704885343966
2621,2621. 한성백제역 2번 출구,40094,4357,6535,14507,0.10866962637801167,0.1629919688731481,0.36182471192697163
5870,5870. LG트윈타워 앞,39905,4204,11530,9018,0.1053502067410099,0.2889362235308858,0.22598671845633378
4547,4547. 목동역 2번 출구,39903,3844,7983,9961,0.09633360900182944,0.20006014585369522,0.2496303536074982
1653,1653. 노원역1번출구,39830,2847,9292,11088,0.07147878483555109,0.23329148882751694,0.27838312829525486
280,280. 양평동6차현대아파트 앞,39736,11105,4848,9347,0.279469498691363,0.12200523454801691,0.23522750150996577
4515,4515. 동문굿모닝탑,39680,4578,6061,11193,0.11537298387096774,0.1527469758064516,0.2820816532258065
1106,1106. 신방화사거리,39587,7492,6839,9917,0.18925404804607573,0.17275873392780458,0.250511531563392
631,631. 답십리역 1번출구,39342,7321,8872,7824,0.1860861166183722,0.22550963347059122,0.19887143510751867
1010,1010. 강동세무서,39256,5086,7531,9513,0.1295598125127369,0.1918432851029142,0.2423323823109843
5866,5866.포레나 당산,39226,2932,8326,10840,0.07474634171212971,0.21225717636261662,0.2763473206546678
1650,1650. 중계근린공원내,39150,5245,6256,10852,0.13397190293742017,0.15979565772669221,0.27719029374201787
4865,4865. 한성백제역 1번출구 뒤,39097,6707,6874,10458,0.17154768908100365,0.1758191165562575,0.2674885541090109
2723,2723.마곡 필네이처,39086,7238,9251,7472,0.1851813948728445,0.23668321138003376,0.19116819321496187
1118,1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔),39073,5942,10216,7939,0.15207432242213292,0.26145931973485526,0.20318378419880737
5862,5862. 당산역11번출구,39067,7629,9082,8632,0.19527990375508741,0.23247241917731076,0.220953746128446
236,236. 문래동자이아파트 앞,38995,6058,5832,10406,0.1553532504167201,0.14955763559430696,0.26685472496473905
4514,4514. 목동성당 앞,38862,6120,5004,10723,0.15748031496062992,0.1287633163501621,0.2759250681900057
4108,4108. 답십리파크자이아파트 앞,38850,10394,4820,9393,0.26754182754182754,0.12406692406692407,0.24177606177606178
1029,1029. 성내어울터,38449,2279,7437,11443,0.059273323103331686,0.1934250565684413,0.2976150224973341
731,731. 서울시 도로환경관리센터,38340,3459,8243,11593,0.09021909233176839,0.21499739175795513,0.3023735002608242
3202,3202.당산롯데캐슬프레스티지,38309,8168,6006,9989,0.21321360515805685,0.1567777806781696,0.26074812707196743
2919,2919.등나무 근린공원(시립북서울미술관 앞) ,38293,2559,7149,11180,0.06682683519181051,0.1866920847152221,0.2919593659415559
793,793.목동5단지아파트 534동,38209,3997,6114,11117,0.10460886178649009,0.16001465623282474,0.290952393415164
788,788.양천구청역 2번출구 옆,38130,5207,11643,7433,0.13655913978494624,0.3053501180173092,0.1949383687385261
791,791.현대하이페리온,38084,3192,6570,10586,0.08381472534397648,0.1725133914504779,0.2779644995273606
1293,1293. 석촌호수 서호 사거리,38081,6027,6324,10282,0.15826790262860743,0.16606706756650297,0.27000341377589876
2720,2720.힐스테이트에코,38052,5442,8577,7885,0.14301482182276884,0.22540208136234627,0.20721644066014927
3010,3010.홍대입구역 3번출구,38015,4638,8159,10178,0.12200447191897935,0.21462580560305142,0.26773641983427593
