대여소번호,대여소명,건수통일_클러스터,비중통일_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"1016","1016. 해뜨는 주유소옆 리엔파크 109동앞",Group 3,Group 1,10841,1754,1745,2778,16.18%,16.10%,25.62%
"2276","2276. 영동1교 (양재천근린공원)",Group 3,Group 3,10831,1189,2087,3472,10.98%,19.27%,32.06%
"2206","2206. 언남초등학교 앞",Group 3,Group 4,10816,2720,1695,2301,25.15%,15.67%,21.27%
"4084","4084. 도봉동실내스포츠센터",Group 3,Group 1,10806,1602,1596,2620,14.83%,14.77%,24.25%
"1916","1916. 구로중학교앞",Group 3,Group 1,10796,2179,1678,2727,20.18%,15.54%,25.26%
"485","485.서울역5번출구",Group 3,Group 1,10784,1872,2855,2090,17.36%,26.47%,19.38%
"3812","3812. KT관악지점",Group 3,Group 1,10780,1390,1380,2848,12.89%,12.80%,26.42%
"5090","5090. 대상연구소",Group 3,Group 2,10772,464,5631,977,4.31%,52.27%,9.07%
"5329","5329. 상계주공15단지 1509동 앞",Group 3,Group 1,10750,2337,1489,2445,21.74%,13.85%,22.74%
"3529","3529. 어린이대공원정문",Group 3,Group 1,10747,1499,1931,3072,13.95%,17.97%,28.58%
"4226","4226. 마포프레스티지자이 1",Group 3,Group 4,10746,2721,1484,2577,25.32%,13.81%,23.98%
"2912","2912.대진고등학교",Group 3,Group 3,10737,781,1611,3357,7.27%,15.00%,31.27%
"3516","3516. 구의아리수정수센터앞",Group 3,Group 4,10725,3066,1211,2630,28.59%,11.29%,24.52%
"1639","1639. 희성오피앙",Group 3,Group 1,10723,1556,1770,2952,14.51%,16.51%,27.53%
"4791","4791. 명동역9번 출구",Group 3,Group 1,10705,1696,2087,2666,15.84%,19.50%,24.90%
"828","828. 숙대입구역 8번",Group 3,Group 3,10703,888,1905,2899,8.30%,17.80%,27.09%
"1395","1395.래미안장위포레카운티(102동)",Group 3,Group 1,10703,2094,1425,3073,19.56%,13.31%,28.71%
"1514","1514. 강북구청 사거리 버스정류소 앞",Group 3,Group 3,10688,839,1836,2647,7.85%,17.18%,24.77%
"4211","4211. 시석빌딩 앞",Group 3,Group 3,10687,294,1956,3733,2.75%,18.30%,34.93%
"1196","1196. 서울식물원(문화센터) 건너편",Group 3,Group 2,10682,1993,4003,1250,18.66%,37.47%,11.70%
"2082","2082.7호선 이수역7번출구",Group 3,Group 1,10674,1100,2286,2538,10.31%,21.42%,23.78%
"836","836. 현대자동차서비스 앞",Group 3,Group 3,10669,663,2554,3439,6.21%,23.94%,32.23%
"1690","1690. 도봉운전면허시험장 버스정류장 옆",Group 3,Group 1,10666,1322,1770,2329,12.39%,16.59%,21.84%
"673","673.안암골벽산아파트(후문)",Group 3,Group 1,10658,1297,1722,2742,12.17%,16.16%,25.73%
"5335","5335. 하계역 1번 출구",Group 3,Group 1,10653,924,2455,2601,8.67%,23.05%,24.42%
"445","445.대한상공회의소",Group 3,Group 2,10651,920,3851,1232,8.64%,36.16%,11.57%
"301","301. 경복궁역 7번출구 앞",Group 3,Group 1,10633,2191,1361,2388,20.61%,12.80%,22.46%
"5894","5894.영등포세무서",Group 3,Group 1,10628,963,3169,1964,9.06%,29.82%,18.48%
"3425","3425.광화문 풍림스페이스본 1단지앞",Group 3,Group 4,10620,2696,1307,2423,25.39%,12.31%,22.82%
"5775","5775. 가락시장역 5번출구",Group 3,Group 1,10615,1435,2442,1987,13.52%,23.01%,18.72%
"4008","4008. 하계 어린이 공원",Group 3,Group 1,10586,1971,1538,2815,18.62%,14.53%,26.59%
"1526","1526. 강북종합시장 앞",Group 3,Group 1,10582,1418,1343,2797,13.40%,12.69%,26.43%
"379","379. 서울역9번출구",Group 3,Group 1,10565,1466,2535,2365,13.88%,23.99%,22.39%
