대여소번호,대여소명,전체 이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"3504","3504. 원일교회",32489,14.01%,13.91%,28.37%
"1111","1111. 마곡엠밸리6_7단지 마곡중학교",32457,15.02%,15.06%,27.38%
"4382","4382. 페코텍글로벌허브빌딩 앞",32387,26.41%,22.48%,13.63%
"514","514. 성수사거리 버스정류장 앞",32316,13.85%,23.49%,19.55%
"4179","4179. 보라매병원역 1번출구",32314,7.50%,19.63%,29.30%
"183","183. 하늘채코오롱아파트 건너편",32099,20.83%,15.94%,24.78%
"3868","3868. 자양한강도서관",32039,23.17%,14.58%,26.16%
"2611","2611. 송파지역자활센터 뒤",32011,31.62%,12.27%,23.99%
"1218","1218. 방이역 4번출구",31988,8.41%,19.60%,29.97%
"747","747. 목동3단지 상가",31970,10.49%,16.65%,31.63%
"4864","4864. 송파사거리",31967,10.29%,18.40%,26.03%
"1208","1208. 풍납현대아파트쉼터",31931,18.03%,17.75%,24.33%
"1162","1162. 공항초등학교건너편",31900,24.17%,14.01%,26.28%
"2632","2632.석촌고분역 2번 출구",31895,15.80%,15.82%,28.28%
"1986","1986. 태평양물산",31892,3.61%,46.47%,13.34%
"1244","1244. 문정 법조단지8",31879,11.13%,17.17%,29.74%
"1077","1077.강동역 1번출구 앞",31858,19.37%,16.81%,22.75%
"1013","1013. 강동구청역 1번 출입구",31786,16.60%,22.17%,21.43%
"3582","3582.화양동 우체국",31740,21.18%,14.37%,22.91%
"2615","2615. 테라타워2",31739,22.29%,24.92%,14.22%
"3413","3413.종로플레이스",31664,15.98%,19.44%,13.73%
"4135","4135. 삼성생명 앞",31641,12.74%,17.76%,27.45%
"4037","4037. 물넘이교",31609,14.21%,14.16%,29.45%
"2742","2742.강서구민올림픽체육센터",31599,24.04%,13.67%,14.22%
"213","213. KT앞",31572,27.09%,18.17%,14.84%
"4213","4213. 마포구중앙도서관 정문 앞",31572,5.86%,19.56%,29.23%
"231","231. 남부고용노동지청 남측",31541,17.51%,21.12%,17.81%
"1617","1617. 하계동 중평어린이공원 앞",31500,28.53%,12.41%,25.94%
"3764","3764. 관문주유소(GS칼택스) 앞",31500,19.57%,16.65%,23.97%
"1569","1569.수유역2번출구",31453,9.71%,20.19%,26.99%
"303","303. 광화문역 1번출구 앞",31377,17.75%,22.97%,16.80%
"796","796.목동아파트 14단지 B상가 앞",31297,22.55%,14.30%,26.08%
"2217","2217.아크로리버뷰 부지 앞",31263,9.93%,15.76%,37.93%
"771","771.목동아파트 703동 앞",31256,11.95%,19.33%,25.48%
"1451","1451. 중랑세무서",31195,10.95%,19.14%,27.62%
"268","268. 그랜드컨벤션센터 앞",31122,10.19%,19.54%,25.05%
"1226","1226. 잠실4동 주민센터 옆",31070,21.54%,17.37%,24.55%
"512","512. 뚝섬역 1번 출구 옆",30925,12.38%,24.84%,26.23%
"2635","2635.잠실새내역 1번출구",30924,10.47%,20.67%,28.34%
"3500","3500. 군자역2번출구",30828,18.04%,20.36%,22.90%
"4893","4893. 문정법조단지12",30673,12.44%,45.68%,8.99%
