대여소번호,대여소명,전체 이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"4599","4599. 대림우성아파트 사거리",5868,18.64%,15.30%,25.55%
"4058","4058. 다락원체육공원 전망대 입구",5865,3.92%,15.04%,34.77%
"4472","4472. 송파파크데일 1단지 115동 건너편",5855,10.13%,12.11%,27.41%
"4784","4784. 중부경찰서앞 사거리",5832,11.95%,28.55%,15.98%
"1693","1693. 원자력 병원",5827,14.54%,20.20%,23.05%
"4474","4474. 가락현대 1차 11동 앞",5820,13.28%,14.97%,28.97%
"4173","4173. 중대후문 마을버스정류장",5811,10.86%,15.56%,30.30%
"1130","1130. 화곡본동시장 버스정류장",5810,14.94%,16.87%,24.58%
"4281","4281.명지대사거리",5808,19.83%,13.60%,26.00%
"3638","3638. 신청담나들목",5806,7.18%,20.48%,30.95%
"840","840. 용산 파크타워 앞",5800,15.33%,16.02%,30.74%
"1056","1056. 강일리버파크 7~11단지",5798,28.92%,11.33%,24.56%
"4637","4637. 용산시티파크 101동 앞",5789,12.49%,15.18%,31.42%
"4064","4064. 신창아파트 입구 앞",5788,24.45%,11.70%,24.33%
"3933","3933. 오류동부골든아파트 후문 옆",5787,27.08%,9.80%,26.28%
"3623","3623. 일원에코파크 앞(개포로 방면)",5782,15.17%,16.79%,29.44%
"260","260. 여의도 마리나선착장 앞",5781,6.87%,21.55%,35.25%
"4548","4548.신목동역1번출구",5778,12.08%,17.95%,23.00%
"2650","2650.위례22단지 2208동 다리앞",5776,29.95%,9.25%,24.48%
"993","993.은평뉴타운 은뜨락아파트앞",5772,11.73%,19.02%,24.95%
"822","822. 이촌1동 마을공원",5764,16.79%,21.56%,24.01%
"4401","4401.뚝섬유수지 공영주차장",5741,11.27%,19.06%,27.78%
"1348","1348. 성북제일새마을금고 본점 앞",5732,15.77%,17.06%,25.96%
"4390","4390. 신답역 1번출구",5732,17.34%,31.63%,16.97%
"1049","1049. 강일리버파크 10단지",5731,23.47%,8.95%,25.49%
"1973","1973. 오리로와 서해안도로 교차로 앞",5731,18.50%,11.97%,25.11%
"160","160. 북아현동 가구거리",5730,12.39%,21.47%,24.45%
"3644","3644. 상록수아파트",5723,10.83%,14.10%,30.56%
"4634","4634. 이태원역 3번 출구",5723,3.84%,15.18%,39.68%
"902","902. 진관동 은빛초등학교",5718,25.32%,10.77%,27.00%
"2137","2137. KT&G 관악지점",5717,15.81%,13.84%,27.62%
"1999","1999. 수궁동 성당 주변",5715,10.59%,15.99%,21.56%
"2312","2312. 청담역 13번 출구 앞",5712,20.24%,20.90%,22.74%
"4801","4801. 충정로역 2호선(엘리베이터 앞)",5711,17.97%,21.80%,21.55%
"1436","1436. 동원베네스트 건물 앞",5709,20.53%,11.16%,24.52%
"4766","4766. 서소문성지역사박물관",5708,35.49%,13.75%,20.46%
"1843","1843. 독산고등학교",5689,24.64%,10.81%,24.26%
"4469","4469. 거여동 어울림아파트  102동앞",5688,12.25%,24.70%,22.38%
"4837","4837. 양원지구 힐데스하임 앞",5687,23.26%,14.30%,25.94%
"850","850.KCC용산웰츠(WELLTZ)타워",5669,20.64%,12.86%,28.59%
"869","869.노들섬 동측 앞",5662,6.11%,19.34%,40.34%
"4346","4346.장학재단빌딩 앞",5649,8.71%,29.95%,19.77%
"1360","1360. 정릉역",5646,15.18%,12.56%,26.14%
"3690","3690. 강일역 4번출구",5638,20.04%,29.82%,17.81%
"1537","1537. 북한산 우이역",5633,6.69%,11.98%,38.77%
"4834","4834. 용마복지센터 앞",5622,9.68%,15.08%,21.31%
"2280","2280. 서울서초고용센터앞",5611,18.62%,24.86%,19.98%
"4929","4929. 투썸플레이스 강남청담점 앞",5585,11.23%,31.75%,21.20%
"3647","3647. 구룡역 1번 출구",5565,23.13%,22.01%,16.30%
"2518","2518. 서초동 현대아파트 앞",5564,19.54%,19.93%,21.91%
"466","466.롯데호텔",5558,9.64%,22.78%,19.45%
"3646","3646. 선정릉역 4번 출구",5558,13.26%,27.08%,21.14%
"4152","4152. 상도효성해링턴플레이스",5545,12.35%,13.71%,26.42%
"164","164. 북가좌1동 주민센터",5543,27.62%,10.12%,25.60%
"2352","2352. 서울본부세관(건설회관 앞)",5536,7.17%,34.21%,13.28%
"4641","4641. 아메리칸센터",5535,9.30%,22.46%,25.91%
"2535","2535.신반포역 3번출구 뒤",5525,15.86%,15.17%,29.97%
"5778","5778. 북위례3",5523,11.61%,13.54%,30.65%
"2349","2349. 역삼빌딩 앞(하나은행 옆)",5520,11.47%,21.39%,21.36%
"3920","3920. 개봉역2번출구 B",5509,22.76%,14.83%,24.36%
"2643","2643.풍납중학교 측면",5496,12.35%,20.94%,25.75%
"4094","4094.도봉여성센터",5485,16.97%,13.78%,24.63%
"1967","1967. 참새공원(백곡경노당)",5484,20.71%,10.58%,25.40%
"4144","4144.시립대학교 박물관 앞",5480,5.33%,22.54%,16.42%
"1634","1634. 당고개공원 대여소",5478,15.77%,13.18%,28.48%
"1343","1343. 한성대7번출구 앞",5465,9.39%,12.53%,29.39%
"364","364. 창신역 1번출구 앞",5461,20.03%,9.06%,25.58%
"2083","2083.흑석롯데캐슬에듀포레(107동)",5455,20.48%,12.50%,27.20%
"4930","4930. 학여울역 1번출구",5452,26.21%,17.61%,25.39%
"2520","2520.서초1교 (진흥아파트 방면)",5451,14.27%,18.62%,23.72%
"2364","2364. 도산공원교차로",5448,8.44%,26.82%,21.18%
"3310","3310.영락고등학교",5434,17.67%,11.85%,26.11%
"4762","4762. 국제빌딩",5425,14.34%,22.86%,14.47%
"2127","2127. 난곡종점",5418,16.35%,9.38%,26.50%
"192","192. 연서어린이공원",5408,28.48%,15.14%,23.30%
"4684","4684. 응암2동주민센터 버스정류장(영락중학교 방면)",5398,22.82%,9.28%,23.16%
"4280","4280.북가좌2동 주민센터",5397,21.10%,13.38%,28.09%
"3799","3799. 국립항공박물관",5395,10.77%,37.09%,19.37%
"1547","1547. 꿈의숲 롯데캐슬",5394,22.84%,12.59%,27.66%
"1539","1539. 4.19민주묘지역",5385,6.33%,17.44%,30.19%
"446","446. 상명대입구",5379,9.35%,17.36%,29.22%
"3602","3602. 한국지역난방공사강남지사",5333,22.67%,33.04%,10.76%
"1509","1509. 서울북부수도사업소",5330,9.29%,15.18%,22.59%
"1285","1285. 위례별 유치원 뒤",5328,27.38%,14.41%,25.38%
"4840","4840. 서울시 북부병원 앞",5321,12.84%,13.57%,19.94%
"4033","4033. 녹천역 4번 출구 옆",5315,10.86%,18.53%,27.56%
"1725","1725. 창1동주민센터",5313,23.56%,8.98%,22.66%
"2617","2617. 가락삼환아파트 앞",5311,16.12%,15.95%,25.55%
"4475","4475. 송파파인타운 4단지 403동",5302,24.31%,13.07%,25.71%
"141","141. 연대 대운동장 옆",5300,7.26%,21.83%,21.55%
"2380","2380. 봉은사로68길 북측",5294,14.66%,15.43%,22.61%
"467","467.한국은행",5291,3.04%,40.16%,16.65%
"2616","2616. 거여동 사거리",5290,17.24%,13.88%,23.61%
"4017","4017. 월계 청백1단지 아파트 정류장",5276,17.99%,12.21%,30.08%
"3958","3958. 롯데캐슬2차 마을버스 정류장(18804) 뒤편",5275,23.85%,17.19%,21.82%
"6189","6189.데시앙플렉스 지식산업센터",5266,10.60%,27.23%,18.06%
"384","384. 중림동삼거리",5250,32.13%,12.97%,24.42%
"2190","2190.도원맨션",5245,8.52%,19.43%,28.79%
"2027","2027. 중앙대학교 정문 1",5230,5.79%,21.66%,24.49%
"468","468.웨스틴 조선호텔",5215,8.76%,28.51%,17.87%
"5783","5783.성내5교 2",5201,11.73%,17.94%,33.63%
"4396","4396. 마장축산물시장 서문 인근",5187,17.00%,14.02%,21.79%
"3820","3820. 은천삼거리",5182,11.29%,14.80%,26.77%
"2510","2510. JW타워",5167,22.14%,22.16%,16.88%
"1258","1258. 가락미륭아파트 앞",5166,14.52%,15.81%,28.05%
"4097","4097.숭미파출소 사거리",5161,21.99%,14.36%,23.43%
"664","664. 서울시립대 건설공학관",5160,6.09%,19.79%,21.16%
"964","964. 북한산힐스테이트 7차아파트",5158,17.56%,14.08%,27.69%
"1660","1660. 서울시립과학관",5158,12.00%,14.81%,25.24%
"4703","4703. 쌍용아파트2단지 정문",5154,16.16%,14.32%,28.73%
"4581","4581. 국회소통관",5146,12.59%,23.09%,14.79%
"4278","4278. 홍은2동주민센터",5116,25.49%,17.14%,17.73%
"4815","4815. 중랑데시앙플렉스 앞",5110,16.77%,34.70%,13.87%
"1349","1349. 월계2교 버스정류장 앞",5109,17.11%,13.25%,27.36%
"1515","1515. 송천동 주민센터",5084,15.15%,13.61%,24.78%
"1279","1279. 마천금호어울림 1차아파트 건너편",5076,19.03%,18.70%,25.22%
"424","424. 롯데하이마트 (상암월드컵점)",5067,8.31%,20.47%,26.84%
"198","198. 충정2교",5049,22.78%,19.96%,19.53%
"4941","4941.압구정로 11길",5034,5.92%,18.61%,36.91%
"1510","1510. 번동주공5단지 관리사무소 앞",5029,16.40%,19.47%,24.14%
"494","494.신수동주민센터",5013,24.68%,10.25%,21.62%
"1479","1479.면목 홈플러스 2",5013,7.04%,17.81%,29.04%
"3521","3521. 현대홈타운 뒷길",5012,18.81%,12.55%,29.05%
"2357","2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞)",4991,15.51%,25.11%,17.09%
"2907","2907. 월계중학교",4979,24.02%,12.43%,17.07%
"1574","1574.송중초등학교 옆",4974,10.88%,15.56%,25.33%
"3653","3653. 강동리버스트4단지아파트 404동 앞",4972,32.92%,10.38%,22.55%
"1358","1358. 정릉도서관 앞",4971,12.79%,16.05%,24.60%
"2356","2356. 강남구청",4970,12.68%,18.73%,21.73%
"959","959. 구파발10단지 인근",4955,7.31%,13.91%,32.01%
"6172","6172. 가양5단지아파트",4940,28.18%,12.89%,19.53%
"4315","4315. 이투스교육 앞",4938,8.53%,31.57%,19.87%
"1774","1774.정의여중고 버스정류소",4933,18.22%,16.10%,26.39%
"2548","2548.반포1동 자율방범초소 옆",4931,18.94%,17.12%,25.78%
"489","489.구룡근린공원",4925,19.96%,16.61%,24.83%
"1161","1161. 강서면허시험장 앞",4925,7.63%,18.15%,16.51%
"491","491.월드컵파크 4단지",4923,9.77%,25.47%,24.98%
"995","995.은평다목적체육관",4922,19.57%,12.47%,22.82%
"1652","1652. 파르코 앞",4909,9.64%,22.02%,26.79%
"741","741. 화곡로 입구 교차로",4901,12.28%,19.45%,22.04%
"3611","3611. 방죽마을 입구",4890,21.29%,15.62%,21.78%
"4642","4642. 용산더프라임아파트 101동 앞",4882,17.35%,18.13%,26.61%
"1714","1714. 도봉문화정보도서관 삼거리",4859,11.71%,20.19%,26.94%
"3402","3402.이화공영주차장",4847,24.37%,16.71%,18.16%
"2258","2258.구룡사 삼거리",4838,18.52%,21.64%,24.45%
"1571","1571.북서울 꿈의 숲 입구",4833,22.49%,12.62%,25.33%
"927","927. 연신내역 3번출구 인근",4822,9.42%,15.51%,25.88%
"3802","3802. 관악구민체육센터",4810,32.00%,9.79%,16.86%
"2024","2024. 상도역 1번출구",4804,15.70%,15.70%,26.50%
"2545","2545.국립중앙도서관(국제회의장옆)",4800,2.96%,30.33%,22.38%
"6063","6063.NH농협은행(신당역6번출구)",4793,7.24%,16.59%,25.02%
"1757","1757.솔밭공원역 1번출구 앞",4788,9.19%,15.35%,29.09%
"5780","5780. 송파세무서",4786,8.65%,33.60%,14.00%
"1992","1992. 구로구배드민턴실내체육관 앞",4784,11.10%,12.96%,20.38%
"2128","2128. 관악구청교차로",4770,10.90%,15.41%,25.39%
"2818","2818.천왕이펜하우스3단지 앞",4750,26.21%,11.26%,20.51%
"4761","4761. 중부경찰서앞사거리 건너편",4748,12.17%,28.58%,19.90%
"5763","5763. 세륜초등학교 건너편",4745,9.42%,16.80%,29.50%
"802","802. 한강진역 2번 출구 앞",4738,14.44%,18.95%,26.45%
"4148","4148.동대문구 장안동 씨젠의료재단",4738,10.07%,17.41%,26.28%
"4627","4627. 효창공원앞역 5번출구 옆",4736,22.87%,17.63%,23.08%
"3419","3419.국립어린이과학관",4723,14.95%,19.10%,24.16%
"4924","4924.논현동가구거리",4720,17.16%,23.62%,17.03%
"3649","3649. 구룡역 5번 출구",4715,28.48%,24.84%,17.48%
"2186","2186. 낙성대입구삼거리",4695,10.73%,15.29%,28.24%
"3967","3967. 혜명양로원 담장 옆(2)",4681,19.74%,16.09%,18.24%
"4086","4086. 도봉로 534",4678,21.46%,10.45%,22.23%
"2283","2283. 그룹한빌딩옆",4668,13.02%,21.38%,23.24%
"3917","3917. 성공회대학교",4662,10.51%,18.10%,19.35%
"671","671.대광빌딩",4653,9.71%,16.87%,27.17%
"4885","4885. 가든파이브 리빙관",4652,9.78%,25.28%,24.83%
"1868","1868.우리은행 시흥남자동화점 앞",4627,22.02%,11.87%,25.07%
"137","137. 신촌기차역입구 교차로",4603,4.95%,21.16%,29.63%
"2825","2825.초롱타운 앞",4602,26.16%,11.71%,21.47%
"1853","1853. 청년취업사관학교앞",4593,39.28%,11.54%,19.88%
"2815","2815.항동지구 7단지 정문",4579,10.26%,16.86%,24.39%
"2062","2062. 사당새마을금고",4577,23.42%,12.61%,26.41%
"4665","4665. 응암역3번 출구(서부경찰서 방면)",4572,8.51%,16.25%,30.12%
"425","425. DMC첨단산업센터",4566,18.24%,26.54%,11.63%
"4875","4875. 위례포레샤인13단지",4566,21.46%,13.80%,25.87%
"3101","3101. 서대문구청",4561,9.84%,14.87%,26.13%
"2368","2368. 도곡동 경남아파트 건너편",4559,11.98%,22.09%,26.61%
"533","533. 금남시장 교차로",4547,21.29%,10.27%,27.78%
"2429","2429.압구정로데오역 6번출구",4545,7.48%,26.38%,28.18%
"3673","3673. 강동리버스트6단지",4533,19.83%,14.10%,24.93%
"4622","4622. 한강중학교 앞 버스정류장",4531,9.84%,19.38%,30.21%
"2309","2309. 청담역(우리들병원 앞)",4529,25.35%,17.82%,19.72%
"4247","4247. 서울서부지방법원등기국앞",4529,19.14%,13.07%,23.58%
"2370","2370. 한티역 3번출구",4520,10.80%,18.32%,25.93%
"858","858.녹사평역3번 출구",4509,5.77%,22.04%,31.74%
"942","942. 상림마을 생태공원",4500,26.20%,7.89%,28.38%
"5766","5766. 북위례1",4499,17.69%,11.27%,27.98%
"3630","3630. 개포우성6차아파트 정문 앞",4491,30.48%,13.52%,25.07%
"3612","3612. 은곡마을",4490,11.45%,15.63%,32.49%
"2144","2144. 난우길입구",4473,11.56%,15.05%,24.93%
"4428","4428.돈암동부센트레빌상가",4472,7.60%,14.33%,30.88%
"422","422. 문화비축기지",4469,3.78%,12.91%,45.27%
"2057","2057. 상도 아이파크 아파트",4466,21.05%,9.67%,25.57%
"4632","4632. 용산 푸르지오 파크타운 1단지 앞",4446,16.76%,23.28%,25.39%
"388","388. 동성중학교 앞",4439,21.42%,13.16%,22.89%
"480","480.약수역 6번 출구",4439,8.00%,15.30%,26.06%
"3615","3615. 서울 논현동우체국 앞",4425,12.20%,30.78%,18.62%
"3725","3725. 강북 청소년 문화정보도서관 앞",4425,14.01%,13.79%,28.41%
"2167","2167. 낙성대역 1번출구",4423,6.26%,18.68%,29.23%
"3807","3807. 관악우체국 교차로",4417,22.16%,10.17%,27.94%
"397","397. 종묘공영주차장 건너편",4396,5.62%,18.31%,28.16%
"867","867.서빙고역 광장(1번출구)",4374,17.28%,20.55%,29.52%
"2321","2321. 학여울역 사거리",4373,15.73%,16.42%,33.11%
"4607","4607. 국립중앙박물관 -용산가족공원 앞",4361,2.89%,18.62%,44.92%
"953","953. 서울연신초등학교",4340,14.15%,13.62%,27.95%
"4909","4909. 노보텔 앰배서더 앞",4337,9.59%,24.19%,25.62%
"3105","3105. 홍은센트레빌 아파트 앞",4326,17.45%,13.13%,28.32%
"5336","5336. 월계 고등학교 앞",4324,10.43%,12.40%,14.69%
"469","469.회현역 1번출구",4322,14.65%,19.57%,18.39%
"3682","3682. 길동 동호빌딩",4321,20.11%,11.92%,26.34%
"4625","4625. 용산공원갤러리앞",4321,13.42%,28.37%,19.51%
"724","724. 계남공원 입구 주출입구 좌측",4302,19.85%,12.92%,24.94%
"4892","4892. 성내유수지 체육공원",4298,16.43%,20.59%,24.69%
"4493","4493. 마천사거리 2",4293,20.92%,18.57%,26.18%
"515","515. 광양중학교 앞",4292,15.38%,13.12%,30.82%
"823","823. 효창동주민센터 앞",4288,22.74%,12.73%,28.01%
"3556","3556.신금호파크자이APT앞",4270,10.09%,15.88%,31.64%
"2382","2382. 역삼동 sk뷰 501동앞",4250,8.28%,21.01%,26.45%
"382","382. 약수역 10번출구 앞",4245,9.63%,14.89%,24.22%
"2373","2373. 개포동역 사거리",4243,9.52%,15.15%,29.32%
"679","679.전농SK아파트 앞",4240,18.70%,14.50%,28.07%
"1200","1200. 개화광역환승센터",4238,8.02%,28.62%,21.73%
"4344","4344. 양재대로(구룡지하차도 앞)",4234,27.14%,12.31%,24.82%
"2812","2812.항동프라자",4232,14.25%,18.03%,24.98%
"4043","4043. 상계주공13단지 1301동",4223,23.77%,9.14%,24.91%
"1863","1863.위너스 스포츠클럽 골프연습장옆",4213,34.25%,9.68%,17.42%
"606","606. 서울반도체고 앞",4208,8.01%,16.56%,28.87%
"159","159. 이대역 4번 출구",4195,8.15%,22.84%,28.27%
"1213","1213. 백토공원 앞",4192,25.05%,13.65%,24.52%
"3724","3724. 삼양동주민센터 앞",4192,6.42%,13.84%,27.46%
"4340","4340. 방배래미안아트힐아파트 앞",4180,10.98%,34.00%,20.77%
"2094","2094.숭실대학교(중문)",4178,9.00%,14.36%,30.28%
"5602","5602.래미안신반포리오센트 후문",4175,12.29%,15.78%,37.37%
"4266","4266.국민연금공단충정로사옥",4174,22.02%,19.53%,18.59%
"4149","4149.제기동역 5번출구",4170,18.27%,15.49%,26.16%
"1137","1137. 등촌2동주민센터",4167,21.91%,11.66%,19.58%
"808","808. 서빙고동 금호맨션 앞",4161,7.86%,18.14%,40.83%
"1181","1181. 농수산식품공사 (강서지사)",4160,5.05%,35.14%,8.77%
"4162","4162. 노량진1동 청소년독서실",4152,24.08%,13.22%,23.60%
"2256","2256.양재동 꽃시장 입구",4151,17.49%,31.17%,18.31%
"2210","2210. 반포1동 주민센터 앞",4141,15.89%,17.05%,28.06%
"1826","1826. 한신코아 앞",4140,24.59%,15.70%,24.25%
"479","479.동대입구역 3번 출구",4139,11.79%,18.99%,31.89%
"4932","4932. 개포래미안포레스트 130동 맞은편",4139,21.12%,13.00%,24.96%
"2329","2329. 르네상스호텔사거리 역삼지하보도 2번출구",4136,15.69%,17.63%,17.82%
"2304","2304. 대현그린타워",4125,12.75%,32.63%,18.93%
"1865","1865.금천구청앞(M빌딩)",4109,20.13%,19.79%,18.06%
"3674","3674. 강동리버스트7단지",4087,23.24%,11.82%,22.98%
"3932","3932. 개봉센트레빌레우스아파트 앞",4081,24.68%,13.01%,22.98%
"4829","4829. 신내동 한살림 중랑지구 건너편",4081,30.78%,10.05%,21.91%
"2311","2311. 학동로 래미안 아파트 앞",4066,12.84%,25.45%,22.68%
"2285","2285. LH서초3단지 301동 맞은편",4065,20.10%,13.06%,29.35%
"2351","2351. 청소년수련관(수영장)앞",4065,11.81%,13.43%,26.49%
"4752","4752. 삼성사이버빌리지아파트",4061,15.17%,19.95%,25.71%
"3005","3005.마포구청 청사내",4044,13.30%,22.08%,12.98%
"1850","1850. 코오롱테크노밸리",4043,5.32%,31.81%,16.15%
"5315","5315. 불암산역 앞",4040,16.51%,15.32%,25.50%
"4913","4913. 레베쌍트 빌딩 앞",4039,6.24%,27.33%,18.84%
"2270","2270. 서초포레스타 7단지",4029,27.40%,13.95%,24.80%
"4776","4776. 신세계면세점",4025,6.43%,26.58%,21.61%
"4609","4609. 파크타워 104동 앞",4018,9.76%,16.90%,36.61%
"2347","2347. 두산건설 본사",4017,6.32%,35.90%,15.93%
"5779","5779. 나래교",4000,27.98%,13.63%,22.70%
"4610","4610. 한남나인원 105동 앞",3977,4.27%,23.11%,27.56%
"1728","1728. 서울북부지방법원",3975,10.16%,35.45%,15.97%
"1427","1427. 용마산역 1번출구",3965,7.64%,27.29%,26.05%
"3134","3134.SK리쳄블(서울아리수본부)",3957,30.05%,14.94%,22.72%
"3616","3616. 역삼중학교 앞(체육관 방향)",3954,14.37%,17.50%,24.63%
"2281","2281. 서울교통공사 사당별관 건너편",3950,23.62%,14.68%,21.06%
"3654","3654. 강동리버스트4단지아파트 405동 앞",3946,14.19%,10.62%,30.56%
"5773","5773. 송파시그니처롯데캐슬",3937,27.94%,12.14%,27.46%
"1864","1864.산호시티빌 옆",3931,23.17%,14.37%,24.04%
"3426","3426.독립문역 2번출구 뒤",3927,39.78%,10.70%,20.55%
"1263","1263. 장지공영차고지",3917,17.46%,12.36%,18.18%
"4098","4098.창동역 1번출구 인근",3899,7.77%,20.70%,27.85%
"4676","4676. 갈현1동 주민센터",3897,14.42%,13.29%,22.30%
"1546","1546. 송천동우체국",3896,7.01%,17.97%,22.95%
"4830","4830. 신내 우디안 111동 앞",3892,29.42%,9.48%,24.15%
"1366","1366. 일신초등학교 옆",3881,16.49%,12.21%,30.95%
"1646","1646. 삼육대 입구",3880,14.46%,11.60%,24.12%
"1347","1347. 길음래미안아파트817동 상가 앞",3853,15.57%,8.75%,27.49%
"4937","4937.개포래미안포레스트 126동 앞",3847,25.37%,11.54%,25.76%
"1542","1542. 삼양사거리역",3846,9.57%,11.52%,25.85%
"173","173. 서대문역 8번출구 앞",3840,17.60%,27.66%,14.48%
"1386","1386.동선고가차도 초입",3839,14.59%,11.83%,28.63%
"295","295.영등포공원 분수대 앞",3833,32.51%,12.50%,24.24%
"2092","2092.흑석한강푸르지오(110동)",3833,23.25%,10.15%,23.64%
"6187","6187.마곡119안전센터 맞은편",3832,31.50%,13.23%,15.61%
"1943","1943. 온수역 북측",3826,5.80%,20.62%,25.56%
"2609","2609. 보성중고등학교 후문 앞",3825,22.20%,12.55%,10.61%
"1679","1679. 삼육대 도서관",3821,3.59%,16.62%,22.40%
"3114","3114.충정로역 3번 출구",3815,16.78%,16.15%,24.69%
"2305","2305. MCM 본사 직영점 앞",3798,2.24%,50.24%,12.74%
"2363","2363. 강남 을지병원 교차로",3798,4.61%,26.04%,23.28%
"1188","1188. 롯데중앙연구소",3789,8.10%,45.82%,13.06%
"1038","1038. 강일 다솜 어린이 공원",3788,18.53%,13.25%,24.05%
"1525","1525. 미아동 복합청사",3779,17.73%,18.97%,20.93%
"1819","1819. 금천구청 앞 자전거거치대",3773,8.98%,20.54%,19.67%
"4908","4908. SB타워 앞",3761,3.11%,34.41%,19.81%
"2065","2065. 서울시여성가족재단",3748,17.88%,12.57%,22.81%
"857","857. 현대 안성타워",3740,2.59%,28.37%,27.46%
"3813","3813. 낙성대역 5번출구",3734,8.36%,17.49%,29.67%
"5100","5100. 강서도로사업소",3733,8.63%,40.32%,11.25%
"2406","2406. 논현동 광명빌딩 앞",3732,3.40%,28.64%,21.62%
"4277","4277. 서대문우체국 정류소 옆",3722,14.05%,15.96%,26.87%
"435","435. SK 남산빌딩",3705,15.09%,20.22%,19.62%
"4903","4903. 신사스퀘어",3704,3.78%,27.51%,25.51%
"442","442.서울역 서부",3698,25.77%,15.95%,24.55%
"1058","1058. 고덕숲 아이파크 1",3696,20.64%,12.18%,27.14%
"4882","4882. 위례포레샤인18단지 1802동",3694,18.44%,13.24%,23.90%
"1761","1761.방학중학교 앞",3693,20.99%,13.76%,24.05%
"4248","4248. 신촌 교보빌딩",3693,7.23%,17.52%,30.52%
"2398","2398. 더라움",3689,11.85%,22.80%,21.42%
"2371","2371. 한국우편사업진흥원",3688,9.57%,24.84%,22.07%
"3688","3688. 상일동산(동아아파트앞 교차로)",3686,18.83%,17.63%,22.98%
"3973","3973. 독산2동주민센터 앞",3683,27.59%,9.37%,23.30%
"4668","4668. 기자촌사거리 B",3682,11.49%,18.98%,28.03%
"1703","1703. 도봉산광역환승센터앞",3676,4.41%,27.53%,27.01%
"2203","2203. 청계산입구역 2번출구",3674,4.95%,23.27%,26.59%
"4490","4490. 송파파인타운 10단지 1005동",3667,20.81%,10.74%,27.11%
"1558","1558.강북문화정보도서관",3653,12.26%,17.22%,31.97%
"1466","1466.두산대림아파트 삼거리",3633,8.56%,16.49%,29.18%
"524","524. 래미안금호하이리버 아파트 102동 옆",3631,19.69%,12.64%,26.08%
"4827","4827. 신내SK V1센터 앞",3614,7.64%,52.74%,10.68%
"3661","3661. 명일동신동아아파트 앞",3607,16.38%,14.67%,22.71%
"2310","2310. 청담동 맥도날드 옆(위치)",3605,5.83%,26.38%,23.16%
"4153","4153. 흑석동효사정앞",3605,14.79%,15.26%,29.24%
"4132","4132. 이문삼익아파트 앞",3603,24.48%,8.88%,26.59%
"4103","4103. 휘경sk뷰아파트 앞",3601,12.44%,17.52%,29.66%
"470","470.회현역 7번출구",3598,14.79%,25.65%,21.60%
"4351","4351.서울AI허브 앞",3597,4.31%,32.22%,17.57%
"4768","4768. 서울도시건축전시관",3593,29.36%,20.62%,14.81%
"3910","3910. 목양전원교회 앞 로터리",3559,14.53%,12.28%,28.43%
"978","978.녹번 힐스테이트상가앞",3541,10.22%,21.10%,26.66%
"1951","1951. 천왕이펜하우스 4단지 후문",3541,24.37%,13.02%,26.89%
"5785","5785.한림연예예술고등학교",3541,19.88%,11.92%,22.28%
"1823","1823. W컨템포오피스텔앞",3517,21.18%,14.93%,19.22%
"139","139. 연세대 정문 건너편",3508,13.48%,20.24%,19.07%
"4667","4667. 폭포동입구 교차로",3504,12.81%,15.44%,25.40%
"608","608. 전농삼성아파트",3499,23.81%,11.95%,23.21%
"1756","1756.서울북부광역등기국",3499,9.52%,17.20%,24.58%
"3109","3109.북한산더샾 106동 앞",3493,10.31%,13.28%,27.05%
"616","616. 서울시립대 정문 앞 A",3468,8.04%,13.78%,22.09%
"3923","3923. 구로공구상가 앞",3463,6.90%,24.49%,17.21%
"1007","1007.암사동 선사유적지",3458,5.21%,11.22%,40.66%
"5504","5504.아현교회",3453,12.34%,25.95%,21.17%
"2235","2235.KT 서초지사 앞",3442,9.36%,27.63%,19.44%
"3974","3974.  안천중학교",3433,31.40%,8.83%,18.64%
"5507","5507. 아현래미안푸르지오아파트 104동 앞",3433,29.48%,7.89%,26.94%
"4781","4781. 브라운스위트레지던스",3430,28.51%,22.19%,19.24%
"2226","2226. 신동아럭스빌아파트 앞",3429,7.73%,38.06%,20.18%
"4240","4240. 아현문화건강센터",3428,24.07%,13.80%,23.10%
"2088","2088.상도중앙하이츠빌 입구",3427,25.01%,10.65%,25.04%
"3530","3530. 왕십리자이아파트 후문(삼거리)",3427,23.05%,8.70%,25.77%
"352","352. 중앙고입구 삼거리",3419,16.29%,19.25%,26.32%
"4956","4956. 암사역사공원역 1번출구",3419,18.31%,16.93%,29.83%
"6062","6062.서울역파출소",3419,32.79%,15.68%,24.31%
"1979","1979. 구로1동우체국 앞",3414,26.27%,8.85%,24.17%
"4925","4925. 청담백영빌딩 앞",3414,5.80%,27.09%,21.27%
"4177","4177. 롯데캐슬 101동 앞",3413,23.23%,8.76%,27.51%
"2143","2143. 서울산업정보학교",3412,12.66%,18.61%,28.87%
"2649","2649.오금공원사거리2",3402,12.79%,16.43%,29.16%
"3703","3703. 삼양입구사거리",3400,17.47%,11.91%,26.76%
"3622","3622. 은마아파트입구 사거리(1)",3394,5.92%,17.94%,29.14%
"4454","4454. 위례 포레샤인 1809동 부근",3332,17.59%,11.01%,27.94%
"1365","1365. 선잠단지 앞",3329,17.78%,9.07%,28.81%
"410","410. 상암중학교 옆",3321,8.94%,18.52%,27.04%
"2659","2659.서울친환경유통센터",3304,31.66%,9.14%,17.31%
