대여소번호,대여소명,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%),Cluster_4Counts,Cluster_Original4
243,243. 이앤씨드림타워 앞,46132,5137.0,11640.0,10786.0,25.231943119743345,23.380733547212348,2,2
244,244. 영등포삼환아파트 앞,23949,3762.0,3925.0,6296.0,16.3889932773811,26.28919787882584,3,1
245,245. 삼성생명 당산사옥 앞,40168,6939.0,8782.0,8167.0,21.863174666401115,20.332105158334993,2,2
247,247. 당산역 10번출구 앞,67725,9277.0,16523.0,16637.0,24.39719453672942,24.565522332964193,4,2
248,248. 초원아파트 앞,12146,889.0,2934.0,4457.0,24.156100773917338,36.69520829902849,3,1
249,249. 여의도중학교 옆,12449,842.0,2125.0,5076.0,17.069644148124347,40.77435938629609,3,1
250,250. 대림아파트 사거리,6993,1479.0,994.0,1971.0,14.214214214214213,28.185328185328185,1,1
251,251. 서울지방병무청 버스정류장,9599,1083.0,1674.0,2483.0,17.439316595478697,25.867277841441815,1,1
252,252. 보라매역4번출구,17184,2237.0,3448.0,4153.0,20.065176908752328,24.167830540037244,3,3
253,253. 신풍역 5번출구 인근,1,0.0,0.0,0.0,0.0,0.0,1,3
254,254. 도림신협 앞,19752,3487.0,2709.0,4595.0,13.715066828675576,23.263466990684485,3,1
255,255. 도림사거리,16811,2204.0,2470.0,5124.0,14.692760692403784,30.480042829099997,3,1
256,256. 동아에코빌입구,16364,3276.0,2281.0,4246.0,13.939134685895867,25.94720117330726,3,1
258,258. 신길역3번출구,21326,7103.0,3645.0,4668.0,17.09181281065366,21.88877426615399,3,2
259,259. 대방역6번출구,36877,12647.0,4908.0,7783.0,13.309108658513436,21.105295983946633,2,2
260,260. 여의도 마리나선착장 앞,5781,397.0,1246.0,2038.0,21.553364469814912,35.253416363950876,1,1
263,263. 근로자회관 사거리,45137,5820.0,10434.0,10430.0,23.116290404767707,23.10742849546935,2,2
264,264. 교보생명보험 앞,22451,3593.0,5157.0,4657.0,22.970023606966283,20.742951316199722,3,3
265,265. 영등포유통상가 사거리,19014,3091.0,3742.0,4318.0,19.680235615861996,22.709582412958873,3,3
266,266. 영등포청과시장 사거리,18875,2204.0,4051.0,4219.0,21.46225165562914,22.352317880794704,3,3
267,267. 삼성화재 사옥 옆,25339,2934.0,5335.0,6118.0,21.054500966888988,24.144599234381783,3,3
268,268. 그랜드컨벤션센터 앞,31122,3170.0,6080.0,7797.0,19.536019536019538,25.053017158280316,2,2
270,270. 증권거래소후문교차로,16066,1638.0,5402.0,2517.0,33.6238018175028,15.666625171168928,3,4
271,271. 샛강생태공원방문자센터 앞,7002,1289.0,1672.0,1611.0,23.878891745215654,23.00771208226221,1,3
272,272. 당산육갑문,67379,6341.0,13233.0,21863.0,19.63965033615815,32.447795307143174,4,2
275,275. 신동아아파트,37953,7065.0,6768.0,8786.0,17.832582404552998,23.149685136879825,2,2
276,276. 영등포로터리2,13230,3693.0,2296.0,3170.0,17.354497354497354,23.960695389266817,3,1
278,278. 쌍용플레티넘오피스텔,34114,4717.0,5218.0,9860.0,15.295772996423757,28.90308964061676,2,2
279,279. 영등포 푸르지오 아파트 B,26944,3940.0,4456.0,6766.0,16.538004750593824,25.111342042755346,3,2
280,280. 양평동6차현대아파트 앞,39736,11105.0,4848.0,9347.0,12.200523454801692,23.522750150996576,2,2
281,281. 대림신동아아파트 앞,13941,1734.0,2190.0,3856.0,15.709059608349474,27.659421849221722,3,1
282,282. 신한은행 대림동지점,9204,1377.0,1384.0,2309.0,15.036940460669273,25.08691873098653,1,1
283,283. 아크로타워 스퀘어(영등포시장),34651,8580.0,4713.0,8239.0,13.601339066693601,23.777091570228855,2,2
