대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중,군집_이용건수,군집_이용비중,위도,경도
2824,2824.미래사랑어린이공원 앞,41804,5142,10703,10337,0.1230025834848339,0.2560281312793034,0.2472729882307913,2,1,37.51006317,126.88956451
228,228. 선유도역 3번출구 앞,41758,4745,8437,12291,0.1136309210211217,0.2020451171033095,0.2943388093299487,2,3,37.53845978,126.89450836
4897,4897. 잠실주공5단지1,41740,11772,4894,11206,0.2820316243411596,0.1172496406324868,0.268471490177288,2,0,37.51633453,127.09380341
1684,1684. 태릉입구역 5번출구,41679,2780,8696,10888,0.0667002567240097,0.2086422418963986,0.2612346745363372,2,3,37.61832047,127.07563019
3575,3575. 자양사거리(서원빌딩),41602,4735,7063,10859,0.1138166434306043,0.1697754915629056,0.2610211047545791,2,3,37.53657532,127.08258057
5882,5882. 휴젠느,41285,10823,6522,10202,0.2621533244519801,0.1579750514714787,0.2471115417221751,2,0,37.52421188,126.90995026
996,996.응암역2번출구 국민은행 앞,41248,3683,8275,11451,0.0892891776570985,0.2006157874321179,0.2776134600465477,2,3,37.59996796,126.91572571
3511,3511. 응봉역 1번출구,41189,4961,5598,14719,0.120444778945835,0.1359100730777634,0.3573526912525189,2,3,37.55125046,127.03510284
907,907. CJ 드림시티,41059,3839,6792,12417,0.093499598139263,0.1654204924620667,0.3024184709807837,2,3,37.59949112,126.91686249
2219,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",41028,2305,9076,13373,0.0561811445841864,0.2212147801501413,0.3259481329823535,2,3,37.50619888,127.0039444
853,853.용산역 맞은편,40797,2377,7857,14407,0.0582640880456896,0.1925876902713434,0.3531387111797436,2,3,37.52848816,126.9658432
744,744. 신목동역 2번 출구,40741,7620,10020,8030,0.1870351734125328,0.2459438894479762,0.1970987457352544,2,1,37.54384232,126.88254547
1264,1264. 천호역 10번 출구 앞,40738,6028,9776,10032,0.147969954342383,0.2399725072413962,0.2462565663508272,2,1,37.53858185,127.12280273
5070,5070. 마곡13단지힐스테이트마스터 후문(1320동 앞),40631,12800,4827,9223,0.3150303955108168,0.1188009155570869,0.2269941670153331,2,0,37.5567627,126.81869507
584,584. 광진광장 교통섬,40596,9982,5922,8180,0.2458862942161789,0.1458764410286727,0.201497684500936,2,0,37.54782867,127.07263184
5867,5867. H타워 앞,40583,14139,8223,7780,0.3483971120912697,0.2026217874479461,0.1917058867013281,2,0,37.52024078,126.9124527
4509,4509. 서울영상고교 입구,40395,7021,5305,10007,0.1738086396831291,0.1313281346701324,0.2477286792919915,2,0,37.52198029,126.85928345
4540,4540. 목동역 3번 출구,40301,4915,9430,8664,0.1219572715317237,0.2339892310364507,0.2149822585047517,2,1,37.52653122,126.86445618
245,245. 삼성생명 당산사옥 앞,40168,6939,8782,8167,0.1727494523003385,0.2186317466640111,0.2033210515833499,2,1,37.52826309,126.89662933
2623,2623.석촌동 주민센터,40120,7462,6318,10805,0.1859920239282153,0.1574775672981057,0.2693170488534396,2,0,37.50362396,127.10355377
2621,2621. 한성백제역 2번 출구,40094,4357,6535,14507,0.1086696263780116,0.1629919688731481,0.3618247119269716,2,3,37.51665878,127.11625671
5870,5870. LG트윈타워 앞,39905,4204,11530,9018,0.1053502067410099,0.2889362235308858,0.2259867184563337,2,1,37.52834702,126.93008423
4547,4547. 목동역 2번 출구,39903,3844,7983,9961,0.0963336090018294,0.2000601458536952,0.2496303536074982,2,3,37.52649689,126.86406708
1653,1653. 노원역1번출구,39830,2847,9292,11088,0.071478784835551,0.2332914888275169,0.2783831282952548,2,3,37.65620041,127.06362152
280,280. 양평동6차현대아파트 앞,39736,11105,4848,9347,0.279469498691363,0.1220052345480169,0.2352275015099657,2,0,37.53210068,126.8944397
4515,4515. 동문굿모닝탑,39680,4578,6061,11193,0.1153729838709677,0.1527469758064516,0.2820816532258065,2,3,37.51481247,126.86117554
