대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"5752","5752. 풍납백제문화공원 옆 인근",33268,6897,20.73%,3929,11.81%,9712,29.19%
"2718","2718.마곡수명산파크1단지",33237,9943,29.92%,3745,11.27%,7148,21.51%
"3570","3570.구의역 리버비스타 오피스텔",33180,3043,9.17%,5782,17.43%,9421,28.39%
"415","415. DMC역 9번출구 앞",33134,6802,20.53%,8978,27.10%,5342,16.12%
"206","206. KBS 앞",33082,2444,7.39%,11205,33.87%,7233,21.86%
"1662","1662. 노원역7번출구",33003,1426,4.32%,8775,26.59%,8606,26.08%
"3536","3536. 중앙농협(자양동)",32978,6604,20.03%,4514,13.69%,8978,27.22%
"3410","3410.종로3가역 8번출구",32846,4513,13.74%,7212,21.96%,5406,16.46%
"2745","2745.수명초등학교",32843,10857,33.06%,3387,10.31%,6085,18.53%
"735","735. 영도초등학교",32826,7144,21.76%,4220,12.86%,9052,27.58%
"1193","1193. 마곡센트럴타워 1차",32767,1045,3.19%,10278,31.37%,5738,17.51%
"1163","1163. 방화동강서기동대앞",32744,7729,23.60%,4229,12.92%,7724,23.59%
"1655","1655. 공릉1단지아파트",32689,6022,18.42%,4251,13.00%,8396,25.68%
"3504","3504. 원일교회",32489,4552,14.01%,4519,13.91%,9216,28.37%
"1111","1111. 마곡엠밸리6_7단지 마곡중학교",32457,4876,15.02%,4888,15.06%,8886,27.38%
"4382","4382. 페코텍글로벌허브빌딩 앞",32387,8554,26.41%,7281,22.48%,4414,13.63%
"514","514. 성수사거리 버스정류장 앞",32316,4476,13.85%,7590,23.49%,6318,19.55%
"4179","4179. 보라매병원역 1번출구",32314,2425,7.50%,6343,19.63%,9469,29.30%
"183","183. 하늘채코오롱아파트 건너편",32099,6686,20.83%,5117,15.94%,7955,24.78%
"3868","3868. 자양한강도서관",32039,7425,23.17%,4672,14.58%,8381,26.16%
"2611","2611. 송파지역자활센터 뒤",32011,10121,31.62%,3927,12.27%,7678,23.99%
"1218","1218. 방이역 4번출구",31988,2691,8.41%,6270,19.60%,9586,29.97%
