대여소번호,대여소명,표준화_건수4열_클러스터,표준화_혼합4열_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%)
"2189","2189. 봉천역 4번출구",Group 2,Group 2,12827,699,2490,3418,19.41%,26.65%
"1808","1808. 에이스하이엔드타워8차 앞",Group 2,Group 1,12823,386,6755,1327,52.68%,10.35%
"2540","2540.반포천 앞",Group 2,Group 2,12790,1843,2792,2949,21.83%,23.06%
"3987","3987. LG전자가산A와 가산테라타워 사이",Group 2,Group 4,12775,4600,1887,2347,14.77%,18.37%
"4873","4873. 개롱역사거리 2번 출구",Group 2,Group 2,12773,2079,2460,3067,19.26%,24.01%
"1431","1431. 중랑구청 사거리",Group 2,Group 2,12763,805,2424,3502,18.99%,27.44%
"800","800. 목월공원 앞",Group 2,Group 2,12747,2534,2361,3408,18.52%,26.74%
"3221","3221.서울특별시 남부교육지원청",Group 2,Group 1,12732,2228,2766,2489,21.72%,19.55%
"5341","5341.공릉동효성아파트 앞",Group 2,Group 2,12728,1905,1466,3473,11.52%,27.29%
"2221","2221. 방일초교 마을버스 정류장",Group 2,Group 2,12727,1311,2746,3324,21.58%,26.12%
"4139","4139. 답십리 사거리",Group 2,Group 2,12724,2281,1520,3323,11.95%,26.12%
"3908","3908. 오류동 다숲오피스텔 앞",Group 2,Group 2,12723,2574,1564,3393,12.29%,26.67%
"3212","3212.신풍역 6번출구",Group 2,Group 2,12711,2051,1764,3088,13.88%,24.29%
"1473","1473.중랑역 1번 출구(중화문화복지센터)",Group 2,Group 2,12706,2165,2570,2992,20.23%,23.55%
"4074","4074. 도봉구육아종합지원센터(창동)",Group 2,Group 2,12706,2862,1629,3284,12.82%,25.85%
"4005","4005. 중계2차 한화꿈에그린 101동 인근",Group 2,Group 2,12692,1110,2255,3632,17.77%,28.62%
"1186","1186. 송정중학교",Group 2,Group 4,12691,3035,1842,2840,14.51%,22.38%
"4078","4078. 원당공원 앞",Group 2,Group 2,12676,2432,1777,3219,14.02%,25.39%
"199","199. 서울 월드컵 경기장",Group 2,Group 2,12670,1101,1899,4345,14.99%,34.29%
"472","472.삼일교(시그니쳐 타워)",Group 2,Group 1,12654,1373,4020,1173,31.77%,9.27%
"806","806. 전자랜드 본관 앞",Group 2,Group 2,12653,1952,2849,2738,22.52%,21.64%
"4411","4411. 동산어린이공원 앞",Group 2,Group 4,12632,2879,2448,2241,19.38%,17.74%
"736","736. 오솔길공원",Group 2,Group 2,12607,2951,1806,3066,14.33%,24.32%
"2523","2523.뉴코아 킴스클럽 앞",Group 2,Group 2,12604,1516,1928,4101,15.30%,32.54%
"1965","1965. 삼환로즈빌아파트 105동 옆",Group 2,Group 2,12586,1743,1988,3473,15.80%,27.59%
"1085","1085.래미안 솔베뉴(고덕로)",Group 2,Group 2,12581,1930,2183,3064,17.35%,24.35%
"5877","5877. 문래동 꽃밭정원",Group 2,Group 2,12558,1688,2597,3370,20.68%,26.84%
"4620","4620. 삼각지역 14번 출구 앞(교통섬)",Group 2,Group 2,12552,1644,2018,3389,16.08%,27.00%
"242","242. 신길선원가와인아파트 앞",Group 2,Group 2,12548,2009,1952,3492,15.56%,27.83%
"1937","1937. 한진아파트 입구",Group 2,Group 2,12538,2305,1495,3235,11.92%,25.80%
"3508","3508. 화양사거리",Group 2,Group 1,12538,2203,3313,2514,26.42%,20.05%
"3515","3515. 서울숲 관리사무소",Group 2,Group 2,12492,339,2086,5298,16.70%,42.41%
"1408","1408. 먹골역 6번출구 앞",Group 2,Group 2,12483,1702,2011,3211,16.11%,25.72%
"354","354. 포르투갈 대사관 앞",Group 2,Group 2,12475,1573,2359,2832,18.91%,22.70%
"5332","5332. 마들역 4번출구",Group 2,Group 2,12455,2202,1780,3137,14.29%,25.19%
"1941","1941. 오류동역 2번출구",Group 2,Group 2,12450,2437,2347,2865,18.85%,23.01%
"249","249. 여의도중학교 옆",Group 2,Group 2,12449,842,2125,5076,17.07%,40.77%
"1070","1070.(시립)고덕평생학습관",Group 2,Group 2,12432,1071,2058,3087,16.55%,24.83%
"932","932. 예일여중",Group 2,Group 2,12420,923,1952,3550,15.72%,28.58%
"1127","1127. 화곡역 버스정류장",Group 2,Group 2,12410,1473,2237,3137,18.03%,25.28%
"1171","1171. 염창동 새마을금고 건너편",Group 2,Group 2,12401,2494,1488,3054,12.00%,24.63%
