대여소번호,대여소명,클러스터그룹,전체이용건수,평일출근건수,평일퇴근비중(%),주말비중(%)
"593","593.자양중앙나들목",Group 1,22936,5012,12.05%,32.30%
"1269","1269. 리센츠아파트",Group 1,22859,2838,15.75%,28.92%
"1185","1185. 등촌9단지",Group 1,22847,5261,16.76%,21.35%
"414","414. 상암동주민센터 옆",Group 1,22818,2688,21.19%,21.86%
"4036","4036. 하계역 6번출구",Group 1,22811,2632,24.36%,23.21%
"913","913. 이마트 버스정류장(서부경찰서 방면)",Group 1,22761,1623,19.95%,26.97%
"1720","1720. 도봉구청 옆(중랑천변)",Group 1,22747,2331,21.19%,27.41%
"2913","2913.상계8동 주민센터",Group 1,22735,4974,14.34%,26.98%
"398","398. 을지로3가역 3번출구",Group 1,22720,2201,25.86%,21.94%
"370","370. 시청역(2호선) 9번출구 뒤",Group 1,22712,2935,28.57%,11.63%
"409","409. 누리꿈스퀘어 옆",Group 1,22632,940,41.87%,13.94%
"5057","5057. 마곡역4번출구",Group 1,22623,1448,27.60%,20.75%
"5055","5055. 마곡역5번출구앞",Group 1,22606,2587,27.68%,20.44%
"1619","1619. 중계동 하나프라자빌딩 앞(중1-1)",Group 1,22546,1370,17.14%,30.30%
"222","222. 시범아파트버스정류장 옆",Group 1,22529,3605,23.17%,18.83%
"1462","1462.동부시장 북문 앞",Group 1,22493,1545,18.75%,28.90%
"1221","1221. 삼전역 4번출구",Group 1,22465,3849,15.54%,27.26%
"264","264. 교보생명보험 앞",Group 1,22451,3593,22.97%,20.74%
"1075","1075.천동초교 삼거리",Group 1,22446,5805,13.01%,24.25%
"2713","2713.우장초등학교 앞",Group 1,22432,8011,10.69%,22.91%
"4141","4141. 우리은행장안지점 앞",Group 1,22420,3057,17.33%,23.69%
"4332","4332. 이수교차로",Group 1,22310,1469,15.87%,35.58%
"4884","4884. H비즈니스파크",Group 1,22296,1345,38.41%,15.64%
"3785","3785. 마곡14단지 1408동앞",Group 1,22278,5434,12.26%,22.75%
"1072","1072.고덕역 5번출구",Group 1,22238,1747,20.61%,28.57%
"546","546. 잠실대교북단 교차로",Group 1,22226,3263,14.94%,27.04%
"433","433. 을지로입구역 2번출구",Group 1,22220,4445,24.09%,16.60%
"5065","5065. 허준박물관삼거리",Group 1,22157,5180,14.92%,22.73%
"4398","4398. 유원지식산업센터 앞",Group 1,22137,2089,24.68%,24.08%
"2801","2801. 대륭포스트타워1차",Group 1,22097,488,51.06%,11.67%
"1458","1458. 상봉터미널2",Group 1,22080,5250,13.17%,24.70%
"559","559. 왕십리역 4번 출구 건너편",Group 1,22022,1512,21.22%,26.99%
"4007","4007. 노원 을지대학교 병원",Group 1,21990,2288,20.97%,20.92%
"1535","1535. 효성인텔리안 앞",Group 1,21962,1870,17.86%,26.88%
"3501","3501. K&S빌딩 앞",Group 1,21941,3624,14.19%,25.50%
"590","590. 건국대학교 (입학정보관)",Group 1,21907,3497,14.16%,13.66%
"363","363. 신설동역 11번출구 뒤",Group 1,21869,3422,15.39%,25.34%
"4796","4796. 서울시청",Group 1,21857,2909,25.55%,16.75%
"133","133. 해담는다리",Group 1,21843,3482,15.77%,28.38%
"3559","3559.성동구민종합체육센터 앞",Group 1,21828,1814,21.96%,30.80%
"4136","4136. 롯데캐슬SKY-L65 D동 앞",Group 1,21816,4313,15.27%,26.17%
"1667","1667. 중계중학교",Group 1,21781,3240,13.66%,25.08%
"749","749. 이대목동병원보도육교",Group 1,21750,1723,26.66%,19.89%
"4218","4218. 디지털매직스페이스",Group 1,21750,1716,30.12%,20.08%
"5859","5859. 여의도 삼부아파트",Group 1,21748,2742,22.25%,27.49%
"633","633. 청량리 기업은행 앞",Group 1,21744,2433,17.84%,28.48%
"582","582. 경일중학교 앞",Group 1,21732,3523,21.88%,21.36%
"3421","3421.혜화역 1번출구",Group 1,21698,2101,16.90%,24.56%
"5853","5853. 여의도역2번출구 앞",Group 1,21694,4047,33.83%,12.91%
"5086","5086. 가양테크노타운",Group 1,21677,1368,24.42%,28.09%
"131","131. 증산2교",Group 1,21635,3032,16.90%,29.83%
"641","641. 용두역 4번출구",Group 1,21628,2257,19.53%,27.39%
"816","816. 신용산역 6번출구 앞",Group 1,21603,2823,22.14%,26.38%
"3894","3894. 노룬산시장 앞",Group 1,21602,4359,16.50%,25.54%
"5089","5089. LG사이언스파크 E10동",Group 1,21585,1135,45.34%,4.11%
"4131","4131. 베네스트 오피스텔 앞",Group 1,21557,4761,15.57%,24.15%
"539","539. 군자교교차로",Group 1,21546,2470,16.08%,28.65%
"1737","1737. 신창시장",Group 1,21538,3379,15.13%,25.89%
"1683","1683. 노원문화예술회관",Group 1,21535,4245,13.37%,24.58%
"225","225. 앙카라공원 앞",Group 1,21527,4505,21.48%,20.35%
"3566","3566.우성4차아파트",Group 1,21500,5687,12.52%,25.96%
"911","911. 은평평화공원(역촌역4번출구)",Group 1,21498,3271,17.33%,25.39%
"1933","1933. 개봉푸르지오아파트 상가",Group 1,21481,5207,13.72%,24.57%
"130","130. 신촌역(2호선) 7번출구 앞",Group 1,21474,1375,21.64%,27.55%
"1661","1661. 당현천근린공원",Group 1,21453,3634,15.55%,23.48%
"1977","1977. 천왕역 1번 출입구 앞",Group 1,21428,3228,22.76%,21.99%
"1697","1697.상계주공2단지 219동",Group 1,21402,4061,12.50%,27.08%
"4497","4497. 아시아선수촌아파트 교차로",Group 1,21392,5675,17.20%,24.32%
"4353","4353. 코오롱디지털타워 3차앞",Group 1,21360,1902,30.47%,17.98%
"258","258. 신길역3번출구",Group 1,21326,7103,17.09%,21.89%
"194","194. 증산교 앞",Group 1,21318,2287,22.03%,28.29%
"2908","2908. 광운대학교 중앙도서관",Group 1,21318,1588,17.72%,22.25%
"2015","2015. 신대방삼거리역 6번출구쪽",Group 1,21314,3905,12.22%,26.99%
"1172","1172. 가양3동 주민센터",Group 1,21301,3861,19.82%,22.60%
"1438","1438. 홈플러스 신내점 앞",Group 1,21298,2972,20.76%,23.98%
"3886","3886.광진구 민방위교육센터",Group 1,21242,5116,12.65%,27.79%
"1337","1337. 돈암성당 옆",Group 1,21240,1372,13.47%,33.24%
"4566","4566. 대림성원상떼빌아파트",Group 1,21221,5242,14.86%,23.40%
"5099","5099. LG사이언스파크 E7동",Group 1,21199,789,53.41%,5.03%
"1416","1416. 상봉역 3번출구",Group 1,21180,2589,19.85%,25.50%
"516","516. 광진메디칼 앞",Group 1,21142,4825,15.85%,23.64%
"2306","2306. 압구정역 2번 출구 옆",Group 1,21115,2567,23.68%,23.61%
